ACT Nominated Migration Program Occupation List - October 2025,,,
ANZSCO Unit Group,Unit Group Code,ANZSCO Code,NOMINATED OCCUPATION
,,323314,precision instrument maker and repairer
Panelbeaters,3241,324111,panelbeater
Vehicle Body Builders and Trimmers,3242,324211,vehicle body builder
,,324212,vehicle trimmer
Vehicle Painters,3243,324311,vehicle painter (491 Only)
Bricklayers and Stonemasons,3311,331111,bricklayer
,,331112,stonemason
Carpenters and Joiners,3312,331211,carpenter and joiner
,,331212,carpenter
,,331213,joiner
Floor Finishers,3321,332111,floor finisher (491 Only)
Painting Trades Workers,3322,332211,painting trades worker
Glaziers,3331,333111,glazier
Plasterers,3332,333211,fibrous plasterer
,,333212,solid plasterer
Roof Tilers,3333,333311,roof tiler
Wall and Floor Tilers,3334,333411,wall and floor tiler
Plumbers,3341,334111,plumber (general)
,,334112,airconditioning and mechanical services plumber
,,334113,drainer
,,334114,gasfitter
,,334115,roof plumber
Electricians,3411,341111,electrician (general)
,,341112,electrician (special class)
,,341113,lift mechanic
Airconditioning and Refrigeration Mechanics,3421,342111,airconditioning and refrigeration mechanic
Electrical Distribution Trades Workers,3422,342211,electrical linesworker (491 Only)
,,342212,technical cable jointer
Telecommunications Trades Workers,3424,342411,cabler (data and telecommunications)
,,342413,telecommunications linesworker
Butchers and Smallgoods Makers,3512,351211,butcher or smallgoods maker
Chefs,3513,351311,chef
Cook,3514,351411,cook
Veterinary Nurses,3613,361311,veterinary nurse
Ambulance Officers and Paramedics,4111,411111,ambulance officer
,,411112,intensive care ambulance paramedic
"Dental Hygienists, Technicians and Therapists",4112,411211,dental hygienist (491 Only)
,,411213,dental technician
,,411214,dental therapist (491 Only)
Diversional Therapist,4113,411311,diversional therapist
Enrolled and Mothercraft Nurses,4114,411411,enrolled nurse
Welfare Support Workers,4117,411711,community worker
,,411712,disabilities services officer
,,411713,family support worker
,,411715,residential care officer
,,411716,youth worker
"Contract, Program and Project Administrators",5111,511111,contract administrator
,,511112,program or project administrator
