ANZSCO 234514
Botanist

ANZSCO 234515
Marine Biologist

ANZSCO 234516
Microbiologist

ANZSCO 234517
Zoologist

ANZSCO 234518
Life Scientists nec

ANZSCO 234599
Medical Laboratory Scientist

ANZSCO 234611
Veterinarian

ANZSCO 234711
Conservator

ANZSCO 234911
Metallurgist

ANZSCO 234912
Meteorologist

ANZSCO 234913
Physicist (Medical Physicist Only)

ANZSCO 234914
Physicist (non-medical)

ANZSCO 234914
Exercise Physiologist

ANZSCO 234915
Natural and Physical Science Professionals nec

ANZSCO 234999
Education Professionals
Early Childhood (Pre-primary School) Teacher

ANZSCO 241111
Primary School Teacher

ANZSCO 241213
Middle School Teacher

ANZSCO 241311
Secondary School Teacher

ANZSCO 241411
Special Needs Teacher

ANZSCO 241511
Teacher of the Hearing Impaired

ANZSCO 241512
Teacher of the Sight Impaired

ANZSCO 241513
Special Education Teachers nec

ANZSCO 241599
University Lecturer

ANZSCO 242111
Vocational Education Teacher (Non-Trades)

ANZSCO 242211
Vocational Education Teacher (Trades)

ANZSCO 242211
Education Adviser

ANZSCO 249111
Teacher of English to Speakers of Other Languages

ANZSCO 249311
Health Professionals
Dietitian

ANZSCO 251111
Nutritionist

ANZSCO 251112
Medical Diagnostic Radiographer

ANZSCO 251211
Medical Radiation Therapist

ANZSCO 251212
Nuclear Medicine Technologist

ANZSCO 251213
Sonographer

ANZSCO 251214
Environmental Health Officer

ANZSCO 251311
Occupational Health and Safety Advisor

ANZSCO 251312
Optometrist

ANZSCO 251411
Orthoptist

ANZSCO 251412
Hospital Pharmacist

ANZSCO 251511
Industrial Pharmacist

ANZSCO 251512
Retail Pharmacist

ANZSCO 251513
Health Promotion Officer

ANZSCO 251911
Orthotist or Prosthetist

ANZSCO 251912
Health Diagnostic and Promotion Professionals nec

ANZSCO 251999
Chiropractor

ANZSCO 252111
Osteopath

ANZSCO 252112
Acupuncturist

ANZSCO 252211
Dental Specialist

ANZSCO 252311
Dentist

ANZSCO 252312
