,,,,
ANZSCO Code,Occupation,Skilled Work Regional visa (subclass 491),Skilled Nominated visa (subclass 190),Building and Construction pathway
312116,Surveying Or Spatial Science Technician,Yes,,Yes
312199,"Architectural, Building and Surveying Technicians (Nec)",Yes,Yes,
312211,Civil Engineering Draftsperson,Yes,Yes,Yes
312212,Civil Engineering Technician,Yes,Yes,Yes
312311,Electrical Engineering Draftsperson,Yes,Yes,Yes
312312,Electrical Engineering Technician,Yes,Yes,Yes
312511,Mechanical Engineering Draftsperson,Yes,,Yes
312512,Mechanical Engineering Technician,Yes,Yes,Yes
312611,Safety Inspector,Yes,,
312912,Metallurgical Or Materials Technician,Yes,Yes,
312913,Mine Deputy,Yes,,
312999,Building And Engineering Technicians (Nec),Yes,,Yes
321111,Automotive Electrician,Yes,,
321211,Motor Mechanic (General),Yes,,
321212,Diesel Motor Mechanic,Yes,,
322211,Sheetmetal Worker,Yes,Yes,Yes
322311,Metal Fabricator,Yes,Yes,Yes
322312,Pressure Welder,Yes,Yes,Yes
322313,Welder (First Class),Yes,Yes,Yes
323111,Aircraft Maintenance Engineer (Avionics),Yes,Yes,Yes
323112,Aircraft Maintenance Engineer (Mechanical),Yes,Yes,Yes
323113,Aircraft Maintenance Engineer (Structures),Yes,Yes,Yes
323211,Fitter (General),Yes,Yes,Yes
323212,Fitter And Turner,Yes,Yes,Yes
323213,Fitter Welder,Yes,Yes,Yes
323214,Metal Machinist (First Class),Yes,Yes,Yes
323299,Metal Fitters and Machinists (Nec),Yes,Yes,Yes
331111,Bricklayer,Yes,Yes,Yes
331112,Stonemason,Yes,Yes,Yes
331211,Carpenter And Joiner,Yes,Yes,Yes
331212,Carpenter,Yes,Yes,Yes
331213,Joiner,Yes,Yes,Yes
332111,Floor Finisher,Yes,,Yes
332211,Painter,Yes,Yes,
333111,Glazier,Yes,Yes,Yes
333211,Plasterer (Wall and Ceiling),Yes,Yes,Yes
333212,Renderer (Solid Plaster),Yes,Yes,Yes
333311,Roof Tiler,Yes,Yes,Yes
333411,Wall And Floor Tiler,Yes,Yes,Yes
334111,Plumber (General),Yes,Yes,Yes
334112,Airconditioning And Mechanical Services Plumber,Yes,Yes,Yes
334113,Drainer,Yes,Yes,Yes
334114,Gasfitter,Yes,Yes,Yes
334115,Roof Plumber,Yes,Yes,Yes
341111,Electrician (General),Yes,Yes,Yes
341112,Electrician (Special Class),Yes,Yes,Yes
341113,Lift Mechanic,Yes,Yes,
342111,Airconditioning And Refrigeration Mechanic,Yes,Yes,Yes
342211,Electrical Linesworker / Electrical Line Mechanic,Yes,,Yes
342212,Technical Cable Jointer,Yes,Yes,
351311,Chef,Yes,,
351411,Cook,Yes,,
394111,Cabinetmaker,Yes,Yes,
399111,Boat Builder and Repairer,Yes,,
399213,Power Generation Plant Operator,Yes,Yes,
411211,Dental Hygienist,Yes,,
411213,Dental Technician,Yes,,
411214,Dental Therapist,Yes,,
411411,Enrolled Nurse,Yes,,
411716,Youth Worker,Yes,,
